speaker_id,form_id,grade,wav_path,asr_transcription,prompt,confidence_score,acoustic_score,lm_score,pitch,intensity,pause(sec),silence(sec),duration(sec)
723010101018_200,HS-1801,5.0,/share/corpus/LTTC2023/HS-1801_sliced/723010101018_200.wav,"I think this picture is taken at a festival. Because we don't normally see people catching fishes on the street. The people on the street are catching fishes for fun. And I have never seen this kind of activity before, only on television. And if I were a parent, I would encourage my child to take part of this activity. Because in this activity,  It also trains the kids to be patient. And no, I won't be interested in running this kind of business. Because I don't like fish. In the picture, there's many people. Some are taking pictures and some are just walking around. Only a kid is playing with the games. And some are deciding to play the game  There's a lot of fish in the tank. So the fish using the paper catcher can catch a lot of fish. But it seems quite hard to catch with the paper catcher because when paper touches water, it may dissolve away. And there's also a lot of prizes if you win the game too.","Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.7589,0.84049,1.99588,471.3225,0.084195270177883,0.0,0,84.67
723010201084_200,HS-1801,4.0,/share/corpus/LTTC2023/HS-1801_sliced/723010201084_200.wav,"It was probably taken on the old street because there are many people on the street and the building is kind of old. And the children are catching the fish and some people are looking around. I have never seen this kind of activity but I wouldn't encourage my child to take part in this kind of activity.  Because I think the fish is very poor. They became the toy of the humans. It's not very humankind. I wouldn't be interested in running this kind of business. Although it would make money, but I think it's cruel to the animals.  and there are selling balloons behind the stand and there are three fish boxes and the owner are teaching the child how to catch the fish and the children's stand is looking behind him","Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.7681,0.85004,1.87884,659.7477,0.0570508334436453,0.0,0,88.98
723010201086_200,HS-1801,3.0,/share/corpus/LTTC2023/HS-1801_sliced/723010201086_200.wav,This might be taken in a fair or at a market. I mean they are having fun. The child is picking up fish with a paper and don't let it broken.  I would not like to run this business since it may harm the fish.  they are having in the daytime. I think that this activity is not good since it's not good for the fish and might be criticized by the organization of the animal protecting,"Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.7972,0.87373,2.09623,711.3208,0.077505714552743,0.0,0,88.97
723010201089_200,HS-1801,4.0,/share/corpus/LTTC2023/HS-1801_sliced/723010201089_200.wav,"I think this picture is taken in the night market because there is a lot of shops and many people. The people in the picture are catching fish with small net. I have seen this kind of activity before but if I were a parent, I won't encourage my child to catch fish.  I think it's unethical and if I were a businessman, I won't be interested in running this kind of business. It's unethical and bad for fish. There's a lot of people and a boy catch a lot of fish. He's sitting on a green chair and his parents are helping him with catching fish. And a woman is selfie with a camera.  Hello Kitty cell phone. There is a washing shop near the night market. And the woman is drinking a juice. The people are walking around and I think","Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.7821,0.8402,2.02507,525.081,0.0967967739373806,0.0,0,89.61
723010201094_200,HS-1801,3.0,/share/corpus/LTTC2023/HS-1801_sliced/723010201094_200.wav,"I think it must be taken in the night market in Taiwan but I actually I don't know where it actually is and I think why is the baby boy is playing some video mini games and in my childhood I also do that my mom will take me to the night market  and I'm very interested in this business because it's very funny but I won't take part in this business  I prefer the office, not like this. Well, this is very funny.","Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.7939,0.89787,2.15319,465.8609,0.0507605262345781,0.0,0,74.49
723010201098_200,HS-1801,4.0,/share/corpus/LTTC2023/HS-1801_sliced/723010201098_200.wav,I think the picture was probably taken in some kind of night market or all street market and because there are a lot of people it might be taken on holiday and they are catching fish from the water in the picture. I have seen this kind of activity before. I would encourage my children to take part in  this kind of activity because I think this is fun to making more experience for you. I would be interesting in running this kind of business but I don't think it can really make a lot of money but instead of making money I can meet a lot of people and try to some kids and their parents and it won't be  It would be boring because I can meet lots of people like foreigners or visitors at some scenic spot. In front of picture there is a children with a blue shirt and I think he already catch a lot of fish from the water.,"Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.8078,0.86272,1.87402,422.775,0.0324525316452159,0.0,0,88.39
723010201100_200,HS-1801,3.0,/share/corpus/LTTC2023/HS-1801_sliced/723010201100_200.wav,I think this place will taken in somewhere and it has night market but It's time night night and the night and I think it will it would like some visual sports and Because why I think so because there are many Entertainment entertainment place in the picture  and people are fishing in the pool like child and adult I have seen this activity before and if I am a parent I not encourage my child to take part in this similar activity because those fish has life and we can't do this to hurt the life to Singapore if you are  the fish in the pool and you fished by others you will not feel good I will not interested in running this kind of business because it's one not easy is harder living life and moreover it can take more outcome if I can,"Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.8044,0.88481,2.06196,462.6675,0.0670720278887872,0.0,0,89.27
723010201101_200,HS-1801,3.0,/share/corpus/LTTC2023/HS-1801_sliced/723010201101_200.wav,"It may happen at a dog market and there are many people walking around or browsing or just taking a walk with their friends or make a family. There is a family sitting near the stand and the mom is helping his kid to catching the fish.  If I were a parent, I would encourage my child to take part in such activities because I think it could help my kid to train their skills, maybe the skills of hoping things or to cooperate the things.  After the activities, I will call my kids to put back those fish because I think if my kid were not prepared to raise such animals or pets.","Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.8184,0.89348,2.11307,572.9896,0.0792252334078477,0.0,0,88.56
723010201106_200,HS-1801,4.0,/share/corpus/LTTC2023/HS-1801_sliced/723010201106_200.wav,"The picture might taken around the temple and some businessmen will have their vendors and absorb other attractions. There is a little boy in the picture and he is trying to get fish in the boxes.  I have seen this kind of activity before when I was a child my parents always took me to the night market and everytime I went to the night market I always asked my parents to pay money for me and I would like to get some fish and if I can catch the fish the business man will let me bring the fish home  If I were a parent, I think I would encourage my children to tag-bind in similar activities because this is a kind of my childhood memory and I think this is also a way to teach children how to protect animals and love them and to keep them if you catch them. Yeah, no, but I don't","Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.8291,0.86912,1.86886,609.9055,0.0439893334483106,0.0,0,89.56
723010201108_200,HS-1801,4.0,/share/corpus/LTTC2023/HS-1801_sliced/723010201108_200.wav,"The picture is taken in a market because there are many stores on the road and there are many people walking by. The people in the picture are playing an activity that is catching goldfish.  I have seen this kind of activity before because I enjoy going to the market like this. But if I were a parent, I will also encourage my child to take part in this similar activity because this is fun and they can keep themselves happy. And children feel happy when they are taking part in this activity.  this activity too. And parents see their children so happy and they will feel happy too. But if I am a businessman, I won't have an interest in running this kind of business because it is a high-risk business. People might not always come and come and buy and","Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.7941,0.84715,1.8632,539.9905,0.1059107693556982,0.0,0,89.0
