speaker_id,form_id,grade,wav_path,asr_transcription,prompt,confidence_score,acoustic_score,lm_score,pitch,intensity,pause(sec),silence(sec),duration(sec)
623060301041_200,HS-1731,3.5,/share/corpus/LTTC2023/HS-1731_sliced/623060301041_200.wav,"Well as we can see in this picture, this picture probably taken in Europe because I consider that is not a view in Taiwan and there are some English characters in this picture and there is a box on the ground. I consider is for the man who is like the structure here and he is doing something like a tree  or something and I never see this kind of activity before because I live in Pindong and no one in Pindong will doing this. However I'm so interested that what the man in the middle of the picture doing this. I consider that he might play a trick and want to amuse people and the people will give him some money. Also I saw some kind of people in  this picture. I saw two men, an old man and a little boy who are riding bicycles there. I consider they are going exercise and they are pretty sporty. Also, I saw a girl who is pretty pretty outside and she is wearing a white shirt and blue jeans and he is looking at someone else. But","Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.8118,0.84198,1.97747,352.4514,0.0363068572192319,0.0,0,88.96
623010601034_200,HS-1731,4.0,/share/corpus/LTTC2023/HS-1731_sliced/623010601034_200.wav,"The picture is probably taken in the market or in the street because there are many vendors. Some people are buying food and there's a street artist in the central. And the box on the ground is for people to put on money. I have seen this kind of activity before, but I  I wouldn't be interested in doing the man what the man do in the middle of a picture because for me it's for me I think it's tired he have to keep on the same pose for long time yes it's a kind of art and  I know that if they want to do this kind of job, street artist, they have to pass some exam. It's not easy to do that.","Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.8066,0.88741,2.10186,422.8915,0.0873027029698966,0.0,0,89.65
623010301010_200,HS-1731,4.0,/share/corpus/LTTC2023/HS-1731_sliced/623010301010_200.wav,I think this picture is probably taken in the place of a plaza or something visitors would like to be in. Because such an artist will work in places like plazas or tourists would like to be in because they can make people pay more attention to them and focus on them.  focus more on them too and also can realize what they are doing and enjoying such a wonderful art of which they want to demonstrate to other people. And the box on the ground is made for people who want to give them some money  and those people who gave the money to them who is thinking that they are doing well and want to praise them and the question number three is I have ever seen this kind of activity before just like in Xinyi district and I'm really interested in such an activity,"Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.8137,0.86934,2.04712,685.8903,0.0233944056790087,0.0,0,89.38
623040101029_200,HS-1731,3.0,/share/corpus/LTTC2023/HS-1731_sliced/623040101029_200.wav,In this picture we can see there's a man Maybe sit on a box and I think this picture is taken at America Street and I think it's cool the box He'd stand on it is I don't know maybe it's tools to make it  stand like this and the little box in front of him is maybe for people to donate some money and I have seen this kind of street perform before and this kind of street perform usually at the place with crowd and I think this street perform is  kind of art cause it make the street have more pleasure and in this picture we can see there are lots of people and behind the picture there's a coconut water seller and some people are buying it. Behind this man,"Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.794,0.8862,1.99811,466.2294,0.0147551181121164,0.0,0,89.33
623040101008_200,HS-1731,3.5,/share/corpus/LTTC2023/HS-1731_sliced/623040101008_200.wav,"I think this picture might be taken in America or one of the European countries because I can see there are so many foreigners in the pictures and there are also the costumes in the picture. I think MAC is a brand of American custom picture and I think the box on the ground is  for collecting money because this man, I think this man is a street comedian and I was seeing this activity before in Taipei and I'm really interested in the man in the middle because I think he is performing some interesting instant movement  I think he tried his best and he is really amazing because he used one leg to support him. I think this is also a kind of art because you have to use some special ways to put out the makeup. If you are not professional enough, you cannot put out the makeup.  the","Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.8017,0.85153,2.06383,376.7721,0.0333689656429763,0.0,0,90.02
623010301074_200,HS-1731,4.0,/share/corpus/LTTC2023/HS-1731_sliced/623010301074_200.wav,"I think the picture was taken on the world side maybe in the European countries due to fancy houses on the world. It makes me think there are many tourist attractions like in France or some very touristy places.  I think the box on the ground is asking for money. Because when you see the man in the middle of the picture, I think he's doing some tricks. And the passengers around him say, oh, it's interesting, give him money.  in my market you see a lot of the person who act like this maybe like playing guitar or something you know and not just like this and playing guitar or do some tricks and you also can on steam yeah also you put some books in front of them and it adds so many and I think","Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.6909,0.80034,2.15491,511.4479,0.0234519685581913,0.0,0,89.28
623010301060_200,HS-1731,4.0,/share/corpus/LTTC2023/HS-1731_sliced/623010301060_200.wav,"The picture I think that is taken in foreign countries streets because inside the pictures there is for all many foreign people and There's lots of stores behind the man The box on the ground is for monies. Yeah, if someone likes the man the golden man's performance they will give him monies  I have seen this performance before on the Xing Yi racial courts. Yes, of course I am very interested in how did she do this? Because in normal men can do this kind of pose. Yes, this kind of performance.  is definitely an art because no one actually know how did she did it and she sells this kind of pose as art to win others money the man the golden man dressed like a soldier and she sit on cross his leg on his others and","Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.796,0.88147,2.24084,561.3181,0.1770007692993833,0.0,0,89.28
623010201023_200,HS-1731,3.0,/share/corpus/LTTC2023/HS-1731_sliced/623010201023_200.wav,I think the texture is probably taken in dance 3 because I have been to Lira's twice before and there are always many street artists there like the sing song singer  Have you ever seen the guy?  see some events in my on my side no I wouldn't interested in doing what the man in the middle of the picture doing because I think the thing he is doing is so tired think standing out on the street all day and not move,"Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.7468,0.78953,2.16886,666.3304,0.1568658223399255,0.0,0,89.33
623010601024_200,HS-1731,4.0,/share/corpus/LTTC2023/HS-1731_sliced/623010601024_200.wav,"This picture is probably taken beside a busy street. Because there are many people around and there are some stores and stands opening beside the street. And the box on the ground is for people to put the money inside to give the performers. And that could be the performers salary for a day and earning. Yes, I have seen this kind of activity before.  No, I don't want to do this kind of job because it's very tired. Yeah, it's very tired and you can just sit there for a long day. Yes, it is a kind of art because it's performing something even they are not moving but people can watch them.  sitting there made me think of a soldier taking a gun I can see some bikers walking beside the man and they are taking the bike with them I think there are flower shop behind the stand","Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.7703,0.82299,2.04068,604.5081,0.0870977776883928,0.0,0,86.55
623040101030_200,HS-1731,4.0,/share/corpus/LTTC2023/HS-1731_sliced/623040101030_200.wav,"I think this picture was taken in one square of the big city because there are many stores and vendors and people around this square and the box on the ground is for money because the man in the center of this picture is performing and he wants somebody to give him the money to express that he performed really well and I have seen this kind of  activity before in Taipei city and I was interested in what he is doing because I think it's very tired to stand in the same place for all day long and you can't even move I think this activity is a kind of art because he must use a lot of time to dress up himself to disguise as a statue  And I believe that art is the thing that people make to make this world more wonderful and more beautiful. And he's the kind of art I saw. In the city, you might have changed to see many different kinds of performance.","Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.825,0.88024,1.9922,385.9827,0.0124457317344821,0.0,0,87.43
