speaker_id,form_id,grade,classification,asr_transcription,wav_path,prompt,example,confidence_score,acoustic_score,lm_score,pitch,intensity,pause(sec),silence(sec),duration(sec),wpm,total_num_word,level_1,level_2,level_3,seq_len,key1,key2,key3,key4,avg,all_avg_score,Threshold_Count
112010103002,IS_1572,1.0,0,I write a river because it's very warm. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right. I think you're right.,/share/corpus/LTTC2023/IS-1572_sliced/IS-1572_sliced/112010103002_300.wav,"Where was this picture probably taken? What makes you think so? What are some things to pay attention to when participating in activities in this kind of place? Which season do you think is suitable to visit this place? Why? If you still have time, please describe what people are wearing and other details of this picture."," I think this picture was taken in the countryside because it doesn't look like a river in a city. There are rocks and the water looks clean. The people in this picture are from the same family. They might feel a bit tired, so they're taking a rest now. I think they need to be careful. There's a risk of falling into the water. It's probably summer because most of them are wearing short sleeves. Summer is the best time to go to a place like this because if they go in winter, it'll be too cold. I see six adults and three children here. They are all dressed very casually: The man standing on the upper left is wearing a white T-shirt and a pair of grey shorts. He also carries a black backpack. The woman wearing a pink T-shirt and black shorts is talking to him. The children have their feet in the water so they can cool down for a while.",0.8717,0.91912,7.6164,237.3854,0.0078999996185302,33.95,12.11,59.57,0.201,12,100.0,0.0,0.0,2,0.57705,0.0,0.0,0.0,0.14426,0.5076,1
112010103012,IS_1572,5.0,1,"This is a creek and it's a very pretty place. I can notice by the flowing water in the picture and also this might be in the forest because there are some trees in the top right corner. And visiting the creeks, visiting creeks in general, you need to beware of flash floods because there might be really big rains upstream and the water might just flow down and wash you away and that's very dangerous. There have been very There have been many incidents where people just get washed away and got killed. And this place is the best for summer travels because it's very hot and dip in your feet and your hands and your body in the crystal clear water and it's very cooling. It's very cool and it's a very good experience for all people. There is a family in this picture. They are wearing very casual clothes and some backpacks. And it seems they are enjoying themselves. Having a great time, probably picnics and taking pictures of each other. Chatting. And it's a very nice place to be at. There are also fish in the creek. 3",/share/corpus/LTTC2023/IS-1572_sliced/IS-1572_sliced/112010103012_300.wav,"Where was this picture probably taken? What makes you think so? What are some things to pay attention to when participating in activities in this kind of place? Which season do you think is suitable to visit this place? Why? If you still have time, please describe what people are wearing and other details of this picture."," I think this picture was taken in the countryside because it doesn't look like a river in a city. There are rocks and the water looks clean. The people in this picture are from the same family. They might feel a bit tired, so they're taking a rest now. I think they need to be careful. There's a risk of falling into the water. It's probably summer because most of them are wearing short sleeves. Summer is the best time to go to a place like this because if they go in winter, it'll be too cold. I see six adults and three children here. They are all dressed very casually: The man standing on the upper left is wearing a white T-shirt and a pair of grey shorts. He also carries a black backpack. The woman wearing a pink T-shirt and black shorts is talking to him. The children have their feet in the water so they can cool down for a while.",0.7973,0.87802,3.08182,532.9039,0.0129415841944893,2.45,0.0,90.23,2.128,192,92.0,5.0,3.0,14,0.55274,0.46767,0.5559,0.57425,0.53764,0.4798,5
112010603008,IS_1572,3.0,0,"This is a river in the mountain because they have a tree. There are so many people in there and the river is so clean. This place need to notice the river how deep there. this place is we have go this place in the summer because because the river is so cold cold and clean so the So if you come here at summer, you will feel comfortable in here.",/share/corpus/LTTC2023/IS-1572_sliced/IS-1572_sliced/112010603008_300.wav,"Where was this picture probably taken? What makes you think so? What are some things to pay attention to when participating in activities in this kind of place? Which season do you think is suitable to visit this place? Why? If you still have time, please describe what people are wearing and other details of this picture."," I think this picture was taken in the countryside because it doesn't look like a river in a city. There are rocks and the water looks clean. The people in this picture are from the same family. They might feel a bit tired, so they're taking a rest now. I think they need to be careful. There's a risk of falling into the water. It's probably summer because most of them are wearing short sleeves. Summer is the best time to go to a place like this because if they go in winter, it'll be too cold. I see six adults and three children here. They are all dressed very casually: The man standing on the upper left is wearing a white T-shirt and a pair of grey shorts. He also carries a black backpack. The woman wearing a pink T-shirt and black shorts is talking to him. The children have their feet in the water so they can cool down for a while.",0.8105,0.92832,5.6495,477.1415,0.0216109588971897,0.0,0.0,75.9,0.935,71,100.0,0.0,0.0,4,0.58547,0.0,0.562,0.0,0.28687,0.4975,2
112010603024,IS_1572,5.0,1,"It seems to be a small creek in the middle of a forest somewhere. I noticed because the creek is a really narrow body of water. And there's plants. You have to watch out for sharp rocks in the water. You could easily get hurt just by scraping your feet against them. You also have to watch out for animals in the water in case you accidentally step on them. You probably want to come here in summer because the water is going to be too cold in any of the other seasons. I see a family of... of eight people here. They seem to be enjoying their time. Some of them are playing underwater, some of them are sitting besides it. They seem to be enjoying themselves. There's a wall with square rocks in them, no, cubed rocks in them. There's a lot of rocks everywhere as well. There's also a plant somewhere on the left, on the right side. There's people behind the plant as well, so I accidentally",/share/corpus/LTTC2023/IS-1572_sliced/IS-1572_sliced/112010603024_300.wav,"Where was this picture probably taken? What makes you think so? What are some things to pay attention to when participating in activities in this kind of place? Which season do you think is suitable to visit this place? Why? If you still have time, please describe what people are wearing and other details of this picture."," I think this picture was taken in the countryside because it doesn't look like a river in a city. There are rocks and the water looks clean. The people in this picture are from the same family. They might feel a bit tired, so they're taking a rest now. I think they need to be careful. There's a risk of falling into the water. It's probably summer because most of them are wearing short sleeves. Summer is the best time to go to a place like this because if they go in winter, it'll be too cold. I see six adults and three children here. They are all dressed very casually: The man standing on the upper left is wearing a white T-shirt and a pair of grey shorts. He also carries a black backpack. The woman wearing a pink T-shirt and black shorts is talking to him. The children have their feet in the water so they can cool down for a while.",0.784,0.9006,3.55088,594.2072,0.0711323700393038,0.0,0.0,89.54,1.91,171,95.0,3.0,3.0,15,0.55229,0.56956,0.6273,0.56205,0.5778,0.5,2
112012903011,IS_1572,5.0,1,I think they might be at a national park because the national parks are usually in nature or outside. They might need to watch out for the river because the river might flow very fast and they might have to wear some hiking shoes because it is very dangerous if you wear slippers. I think it is better if you come here in summer because summer is usually very hot and rivers are usually very cool. You can enjoy it very much and you can cool off too. I see the people are wearing different clothes that have different varieties of colors. Someone is wearing striped t-shirt. Someone's wearing a white t-shirt. And I see two kids that are playing. And some people are standing in the river. And one person is sitting on a rock. And two are on the side.,/share/corpus/LTTC2023/IS-1572_sliced/IS-1572_sliced/112012903011_300.wav,"Where was this picture probably taken? What makes you think so? What are some things to pay attention to when participating in activities in this kind of place? Which season do you think is suitable to visit this place? Why? If you still have time, please describe what people are wearing and other details of this picture."," I think this picture was taken in the countryside because it doesn't look like a river in a city. There are rocks and the water looks clean. The people in this picture are from the same family. They might feel a bit tired, so they're taking a rest now. I think they need to be careful. There's a risk of falling into the water. It's probably summer because most of them are wearing short sleeves. Summer is the best time to go to a place like this because if they go in winter, it'll be too cold. I see six adults and three children here. They are all dressed very casually: The man standing on the upper left is wearing a white T-shirt and a pair of grey shorts. He also carries a black backpack. The woman wearing a pink T-shirt and black shorts is talking to him. The children have their feet in the water so they can cool down for a while.",0.8063,0.90144,2.9093,509.8357,0.0068986111267198,14.48,6.44,89.86,1.58,142,98.0,2.0,0.0,11,0.58227,0.5871,0.6031,0.60938,0.59546,0.5153,6
112020303004,IS_1572,2.5,0,This place is a river bank because some people stay there and swim and play water. Notice the scale for the... I think the city is summer because summer very hot you can go there very Go there swimming very cool Two people we are the We are backpacker two people and we are two white clothes and one grandma wear pink clothes and three kids play in the water. Too many bones. you,/share/corpus/LTTC2023/IS-1572_sliced/IS-1572_sliced/112020303004_300.wav,"Where was this picture probably taken? What makes you think so? What are some things to pay attention to when participating in activities in this kind of place? Which season do you think is suitable to visit this place? Why? If you still have time, please describe what people are wearing and other details of this picture."," I think this picture was taken in the countryside because it doesn't look like a river in a city. There are rocks and the water looks clean. The people in this picture are from the same family. They might feel a bit tired, so they're taking a rest now. I think they need to be careful. There's a risk of falling into the water. It's probably summer because most of them are wearing short sleeves. Summer is the best time to go to a place like this because if they go in winter, it'll be too cold. I see six adults and three children here. They are all dressed very casually: The man standing on the upper left is wearing a white T-shirt and a pair of grey shorts. He also carries a black backpack. The woman wearing a pink T-shirt and black shorts is talking to him. The children have their feet in the water so they can cool down for a while.",0.8382,0.93467,5.29691,393.6087,0.0085170731862734,38.12,12.92,90.04,0.822,74,97.0,3.0,0.0,5,0.44787,0.0,0.4462,0.5013,0.34884,0.4167,0
112020303012,IS_1572,2.0,0,"can make me relaxing. In this picture, I see many people and three children with her parents. I see it can take pictures. I feel very relaxed. I think we should notice the water settling.",/share/corpus/LTTC2023/IS-1572_sliced/IS-1572_sliced/112020303012_300.wav,"Where was this picture probably taken? What makes you think so? What are some things to pay attention to when participating in activities in this kind of place? Which season do you think is suitable to visit this place? Why? If you still have time, please describe what people are wearing and other details of this picture."," I think this picture was taken in the countryside because it doesn't look like a river in a city. There are rocks and the water looks clean. The people in this picture are from the same family. They might feel a bit tired, so they're taking a rest now. I think they need to be careful. There's a risk of falling into the water. It's probably summer because most of them are wearing short sleeves. Summer is the best time to go to a place like this because if they go in winter, it'll be too cold. I see six adults and three children here. They are all dressed very casually: The man standing on the upper left is wearing a white T-shirt and a pair of grey shorts. He also carries a black backpack. The woman wearing a pink T-shirt and black shorts is talking to him. The children have their feet in the water so they can cool down for a while.",0.8332,0.96241,6.30234,364.0403,0.0062018868267395,63.65,48.31,89.41,0.391,35,96.0,0.0,4.0,5,0.51485,0.658,0.0,0.63865,0.45288,0.5212,5
112020303019,IS_1572,2.0,0,"This place maybe is a river. Because they are so very, have a very water and sea very cold. And this place. can play in summer because goalie player is very very cool and very cool and the grandpa have have black bag and the grandmother has the black pink t-shirt And the father is wearing the purple, red,",/share/corpus/LTTC2023/IS-1572_sliced/IS-1572_sliced/112020303019_300.wav,"Where was this picture probably taken? What makes you think so? What are some things to pay attention to when participating in activities in this kind of place? Which season do you think is suitable to visit this place? Why? If you still have time, please describe what people are wearing and other details of this picture."," I think this picture was taken in the countryside because it doesn't look like a river in a city. There are rocks and the water looks clean. The people in this picture are from the same family. They might feel a bit tired, so they're taking a rest now. I think they need to be careful. There's a risk of falling into the water. It's probably summer because most of them are wearing short sleeves. Summer is the best time to go to a place like this because if they go in winter, it'll be too cold. I see six adults and three children here. They are all dressed very casually: The man standing on the upper left is wearing a white T-shirt and a pair of grey shorts. He also carries a black backpack. The woman wearing a pink T-shirt and black shorts is talking to him. The children have their feet in the water so they can cool down for a while.",0.8448,0.95232,5.66394,360.8427,0.0101500000274772,41.88,23.17,87.97,0.671,59,100.0,0.0,0.0,4,0.5719,0.0,0.4752,0.52,0.39178,0.4639,1
112020503012,IS_1572,2.0,0,"There is a river because there is water. You need to be careful with the water. I think you can go there in summer because the winter is cold. In the photo, the people wear shorts and pants. people sat on the rock and five people sat up.",/share/corpus/LTTC2023/IS-1572_sliced/IS-1572_sliced/112020503012_300.wav,"Where was this picture probably taken? What makes you think so? What are some things to pay attention to when participating in activities in this kind of place? Which season do you think is suitable to visit this place? Why? If you still have time, please describe what people are wearing and other details of this picture."," I think this picture was taken in the countryside because it doesn't look like a river in a city. There are rocks and the water looks clean. The people in this picture are from the same family. They might feel a bit tired, so they're taking a rest now. I think they need to be careful. There's a risk of falling into the water. It's probably summer because most of them are wearing short sleeves. Summer is the best time to go to a place like this because if they go in winter, it'll be too cold. I see six adults and three children here. They are all dressed very casually: The man standing on the upper left is wearing a white T-shirt and a pair of grey shorts. He also carries a black backpack. The woman wearing a pink T-shirt and black shorts is talking to him. The children have their feet in the water so they can cool down for a while.",0.852,0.94035,5.07228,309.8612,0.011424637666188,0.0,0.0,70.38,0.682,48,97.0,3.0,0.0,5,0.633,0.7391,0.6845,0.536,0.64815,0.5406,6
112020503060,IS_1572,3.0,0,"This many there may be a river in Taizong. I often go to Taizong there is very beautiful and they're very in the naturally And We often go there and the play water and there Then we play water we We need useful. There is very dangerous in have a big water. But if you mainly usefully, you can pray very fun. It's very beautiful in summer. many flowers and many girls. In the picture we can see many people wash their feet in the water. They look very fun.",/share/corpus/LTTC2023/IS-1572_sliced/IS-1572_sliced/112020503060_300.wav,"Where was this picture probably taken? What makes you think so? What are some things to pay attention to when participating in activities in this kind of place? Which season do you think is suitable to visit this place? Why? If you still have time, please describe what people are wearing and other details of this picture."," I think this picture was taken in the countryside because it doesn't look like a river in a city. There are rocks and the water looks clean. The people in this picture are from the same family. They might feel a bit tired, so they're taking a rest now. I think they need to be careful. There's a risk of falling into the water. It's probably summer because most of them are wearing short sleeves. Summer is the best time to go to a place like this because if they go in winter, it'll be too cold. I see six adults and three children here. They are all dressed very casually: The man standing on the upper left is wearing a white T-shirt and a pair of grey shorts. He also carries a black backpack. The woman wearing a pink T-shirt and black shorts is talking to him. The children have their feet in the water so they can cool down for a while.",0.842,0.93099,4.83933,415.5948,0.0290605505467008,0.0,0.0,88.58,1.016,90,95.0,5.0,0.0,8,0.50397,0.4994,0.547,0.63205,0.5456,0.4905,5
