index,speaker_id,y_true,holistic_predicted
0,82010201042,3.0,2
1,82010201064,3.0,2
2,82020501011,1.0,2
3,82031101003,1.0,2
4,82031101014,1.0,2
5,82060301049,1.0,2
6,82100101034,1.0,2
7,112020303011,2.0,2
8,112031103058,1.0,2
9,112060303003,1.0,2
10,472010112031,4.0,4
11,472010112039,3.0,4
12,472010212011,3.0,2
13,472010212050,3.0,4
14,472010312006,3.0,2
15,472010312031,2.0,2
16,472010312046,2.0,2
17,472010312056,3.0,2
18,472010612043,2.0,2
19,472010612066,3.0,2
20,472020512015,1.0,2
21,472030212013,2.0,2
22,472030212051,3.0,2
23,472030212108,3.0,4
24,472030312013,3.0,4
25,472030312055,2.0,4
26,472031112018,3.0,4
27,472031112043,3.0,2
28,472031112044,3.0,2
29,472050812022,2.0,2
30,472061012002,2.0,2
31,472061512010,3.0,2
32,472061512016,2.0,4
33,472100112019,3.0,4
34,472100112028,3.0,4
35,472100312002,2.0,4
36,472100312010,3.0,4
37,472100312029,2.0,2
38,472100412016,2.0,2
39,472110212023,2.0,2
40,472110212042,2.0,2
41,472110212046,2.0,2
42,472110712019,2.0,2
43,472110712022,2.0,2
44,472120212024,2.0,2
45,652010104069,4.0,4
46,652010106050,3.0,4
47,652010106065,3.0,2
48,652010204066,3.0,4
49,652010206061,2.0,4
50,652010206062,2.0,2
51,652010304041,3.0,4
52,652010304088,2.0,2
53,652010306028,3.0,2
54,652010306068,3.0,4
55,652010604001,3.0,2
56,652010604077,3.0,4
57,652020506013,2.0,2
58,652020506018,2.0,2
59,652030206074,2.0,2
60,652030206110,2.0,4
61,652030304014,3.0,4
62,652030304046,3.0,4
63,652030306073,3.0,4
64,652031106058,3.0,4
65,652050204003,3.0,2
66,652050204087,2.0,2
67,652050206075,2.0,2
68,652050804016,3.0,2
69,652050804031,3.0,4
70,652060306007,3.0,2
71,652061004006,3.0,2
72,652061006037,2.0,2
73,652061006050,3.0,4
74,652061406005,1.0,2
75,652070404014,1.0,2
76,652070406020,3.0,4
77,652080404001,2.0,2
78,652090304038,2.0,2
79,652100104003,2.0,2
80,652100104081,1.0,2
81,652100104085,2.0,2
82,652100106019,3.0,4
83,652100106022,3.0,2
84,652110204006,2.0,2
85,652110204012,2.0,2
86,652120404032,2.0,2
87,652120406006,2.0,4
88,652120406007,2.0,2
89,652120406011,4.0,4
