index,speaker_id,y_true,holistic_predicted
0,852010104005,3.0,4
1,852010104007,4.0,4
2,852010104017,3.0,4
3,852010104022,3.0,4
4,852010104024,2.0,2
5,852010104025,3.0,4
6,852010104027,2.0,2
7,852010104031,2.0,2
8,852010104048,2.0,2
9,852010104053,2.0,2
10,852010104054,2.0,2
11,852010104063,2.0,2
12,852010104067,3.0,4
13,852010104072,2.0,4
14,852010104075,4.0,4
15,852010104076,2.0,4
16,852010204017,2.0,2
17,852010204019,3.0,2
18,852010204022,4.0,4
19,852010204026,3.0,4
20,852010204033,2.0,2
21,852010204034,2.0,4
22,852010204040,3.0,4
23,852010204044,2.0,2
24,852010204053,3.0,4
25,852010204058,3.0,4
26,852010204060,3.0,2
27,852010204064,2.0,4
28,852010204066,2.0,2
29,852010204073,2.0,4
30,852010204078,2.0,2
31,852010204079,3.0,2
32,852010204086,2.0,4
33,852010204093,3.0,4
34,852010204095,3.0,4
35,852010204100,4.0,4
36,852010204102,3.0,2
37,852010204104,3.0,4
38,852010204108,2.0,2
39,852010204115,4.0,4
40,852010204128,2.0,2
41,852010204129,2.0,2
42,852010204134,3.0,2
43,852010204136,2.0,4
44,852010204144,3.0,2
45,852010204146,3.0,4
46,852010204149,3.0,4
47,852010204150,2.0,4
48,852010204172,3.0,2
49,852010204181,4.0,4
50,852010204195,3.0,4
51,852010204201,2.0,2
52,852010204203,3.0,4
53,852010204205,2.0,4
54,852010604006,3.0,4
55,852010604007,2.0,2
56,852010604017,2.0,2
57,852010604021,2.0,2
58,852010604023,3.0,4
59,852010604024,2.0,2
60,852010604032,2.0,4
61,852010604038,2.0,2
62,852010604045,3.0,2
63,852010604050,3.0,4
64,852010604054,3.0,4
65,852010604058,2.0,2
66,852010604059,3.0,4
67,852010604061,3.0,4
68,852010604068,2.0,2
69,852010604070,3.0,4
70,852010604074,4.0,4
71,852010604076,2.0,2
72,852010604078,3.0,4
73,852010604081,3.0,4
74,852010604082,2.0,2
75,852010604083,2.0,2
76,852020504001,3.0,2
77,852020504012,3.0,4
78,852020504018,3.0,4
79,852020504020,2.0,2
80,852020504022,2.0,2
81,852020504024,3.0,4
82,852020504028,3.0,4
83,852020504034,2.0,2
84,852020504037,3.0,4
85,852020504038,3.0,2
86,852020604001,3.0,4
87,852020604003,3.0,4
88,852020604004,3.0,2
89,852020604005,2.0,2
90,852020604006,2.0,2
91,852020604010,2.0,4
92,852020604019,2.0,2
93,852020804004,3.0,4
94,852020804012,2.0,2
95,852020804019,2.0,2
96,852020804020,2.0,4
97,852020804033,2.0,2
98,852030104053,4.0,4
99,852030104056,3.0,2
100,852030104057,3.0,4
101,852030104059,2.0,2
102,852030104064,2.0,4
103,852030104067,2.0,4
104,852030104070,2.0,2
105,852030104071,3.0,4
106,852030104077,3.0,4
107,852030204001,2.0,2
108,852030204004,2.0,2
109,852030204011,3.0,4
110,852030204012,3.0,2
111,852030204028,2.0,4
112,852030204031,3.0,4
