index,speaker_id,y_true,holistic_predicted
0,852010104005,3.0,3
1,852010104007,4.0,3
2,852010104017,3.0,3
3,852010104022,3.0,3
4,852010104024,2.0,2
5,852010104025,3.0,3
6,852010104027,2.0,2
7,852010104031,2.0,2
8,852010104048,2.0,2
9,852010104053,2.0,2
10,852010104054,2.0,2
11,852010104063,2.0,2
12,852010104067,3.0,2
13,852010104072,2.0,3
14,852010104075,4.0,3
15,852010104076,2.0,2
16,852010204017,2.0,2
17,852010204019,3.0,3
18,852010204022,4.0,3
19,852010204026,3.0,3
20,852010204033,2.0,2
21,852010204034,2.0,3
22,852010204040,3.0,3
23,852010204044,2.0,2
24,852010204053,3.0,3
25,852010204058,3.0,3
26,852010204060,3.0,2
27,852010204064,2.0,3
28,852010204066,2.0,2
29,852010204073,2.0,2
30,852010204078,2.0,1
31,852010204079,3.0,3
32,852010204086,2.0,3
33,852010204093,3.0,3
34,852010204095,3.0,3
35,852010204100,4.0,3
36,852010204102,3.0,2
37,852010204104,3.0,3
38,852010204108,2.0,2
39,852010204115,4.0,3
40,852010204128,2.0,3
41,852010204129,2.0,2
42,852010204134,3.0,2
43,852010204136,2.0,3
44,852010204144,3.0,2
45,852010204146,3.0,2
46,852010204149,3.0,3
47,852010204150,2.0,3
48,852010204172,3.0,3
49,852010204181,4.0,3
50,852010204195,3.0,3
51,852010204201,2.0,2
52,852010204203,3.0,3
53,852010204205,2.0,3
54,852010604006,3.0,3
55,852010604007,2.0,1
56,852010604017,2.0,1
57,852010604021,2.0,2
58,852010604023,3.0,3
59,852010604024,2.0,2
60,852010604032,2.0,2
61,852010604038,2.0,3
62,852010604045,3.0,2
63,852010604050,3.0,3
64,852010604054,3.0,3
65,852010604058,2.0,2
66,852010604059,3.0,3
67,852010604061,3.0,2
68,852010604068,2.0,2
69,852010604070,3.0,3
70,852010604074,4.0,3
71,852010604076,2.0,2
72,852010604078,3.0,3
73,852010604081,3.0,3
74,852010604082,2.0,1
75,852010604083,2.0,3
76,852020504001,3.0,2
77,852020504012,3.0,3
78,852020504018,3.0,3
79,852020504020,2.0,2
80,852020504022,2.0,1
81,852020504024,3.0,3
82,852020504028,3.0,3
83,852020504034,2.0,3
84,852020504037,3.0,3
85,852020504038,3.0,2
86,852020604001,3.0,3
87,852020604003,3.0,2
88,852020604004,3.0,2
89,852020604005,2.0,2
90,852020604006,2.0,2
91,852020604010,2.0,3
92,852020604019,2.0,2
93,852020804004,3.0,2
94,852020804012,2.0,2
95,852020804019,2.0,2
96,852020804020,2.0,2
97,852020804033,2.0,2
98,852030104053,4.0,3
99,852030104056,3.0,3
100,852030104057,3.0,3
101,852030104059,2.0,2
102,852030104064,2.0,3
103,852030104067,2.0,2
104,852030104070,2.0,1
105,852030104071,3.0,3
106,852030104077,3.0,3
107,852030204001,2.0,2
108,852030204004,2.0,2
109,852030204011,3.0,3
110,852030204012,3.0,2
111,852030204028,2.0,2
112,852030204031,3.0,3
113,852030204042,3.0,2
114,852030204047,2.0,2
115,852030204058,2.0,2
116,852030204062,3.0,3
117,852030204064,4.0,3
118,852030204070,3.0,3
119,852030204072,2.0,3
120,852030204077,2.0,2
121,852030204078,3.0,3
122,852030204079,2.0,3
123,852030304025,2.0,2
124,852030304033,2.0,3
125,852030304034,3.0,3
126,852031104012,3.0,3
127,852031104018,3.0,3
128,852031104030,3.0,3
129,852031104032,2.0,2
130,852031104045,2.0,2
131,852031104051,3.0,3
132,852031104066,3.0,3
133,852031104075,3.0,3
134,852031104078,3.0,2
135,852040104007,3.0,2
136,852040104010,3.0,3
137,852040104013,4.0,3
138,852040104016,3.0,3
139,852040104020,2.0,3
140,852040104023,3.0,3
141,852040104024,3.0,2
142,852040104025,2.0,2
143,852040104031,2.0,2
144,852041004012,1.0,2
145,852041004014,2.0,2
146,852041004020,3.0,2
147,852041004029,3.0,3
148,852041004036,2.0,2
149,852050204007,3.0,2
150,852050204014,2.0,1
151,852050204020,3.0,2
152,852050204023,3.0,3
153,852050204063,3.0,3
154,852050204064,3.0,3
155,852050204075,3.0,3
156,852050204082,2.0,2
157,852050204086,2.0,3
158,852050204092,2.0,3
159,852050204094,2.0,2
160,852050204096,3.0,2
161,852050204098,3.0,2
162,852050804017,3.0,3
163,852050804018,2.0,2
164,852050804027,3.0,2
165,852050804029,2.0,2
166,852050804030,3.0,3
167,852050804031,2.0,2
168,852050804034,4.0,2
169,852050804037,2.0,3
170,852050804055,2.0,2
171,852060304003,3.0,2
172,852060304009,3.0,3
173,852060304019,2.0,2
174,852060304022,2.0,2
175,852060304025,2.0,2
176,852060304041,2.0,2
177,852061004001,2.0,2
178,852061004007,3.0,3
179,852061004014,2.0,2
180,852061004017,3.0,2
181,852061004018,2.0,2
182,852061004023,2.0,1
183,852061004024,3.0,3
184,852061004041,2.0,3
185,852061004058,2.0,3
186,852061104012,4.0,3
187,852061104013,2.0,1
188,852061104015,2.0,2
189,852061104016,3.0,2
190,852061104022,2.0,3
191,852061104023,3.0,3
192,852061104033,3.0,2
193,852061104035,2.0,2
194,852061104038,3.0,3
195,852061604001,2.0,3
196,852061604016,2.0,2
197,852070404002,2.0,2
198,852070404005,2.0,2
199,852070404009,3.0,2
200,852070404016,3.0,2
201,852080104005,1.0,2
202,852080104008,2.0,2
203,852080104010,1.0,1
204,852080104016,2.0,2
205,852080104017,3.0,3
206,852080104020,2.0,2
207,852090404003,3.0,3
208,852090404005,2.0,2
209,852090404009,2.0,2
210,852090404010,3.0,3
211,852090404015,3.0,3
212,852090404016,3.0,3
213,852090404019,3.0,3
214,852090404022,2.0,2
215,852090404024,3.0,3
216,852090404026,2.0,2
217,852090404027,2.0,3
218,852090404032,2.0,2
219,852090404033,2.0,2
220,852090404036,2.0,2
221,852090404044,3.0,3
222,852100104001,3.0,3
223,852100104010,2.0,3
224,852100104013,3.0,3
225,852100104022,3.0,2
226,852100104024,2.0,2
227,852100104033,3.0,3
228,852100104034,3.0,2
229,852100104044,2.0,3
230,852100104047,3.0,3
231,852100104049,3.0,3
232,852100104051,3.0,3
233,852100104062,3.0,3
234,852100104063,3.0,3
235,852100104076,2.0,1
236,852100104087,3.0,3
237,852100104099,2.0,2
238,852100104102,3.0,3
